Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-4.97555680029071E-06,0.000119385827082069,-0.0516401114917389,0,0,0,1.4099761076447,0.00833848175722447,3.69416628593438E-08,-2.57330059907864E-07,0.00370011739477979,-5.87734677262529E-08,0.00905545361644478,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/body.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/body.STL,,身体-1/身体板-1;身体-1/身体侧板-1;身体-1/身体侧板-2;身体-1/身体板-2;身体-1/身体支撑(铝)-1;身体-1/身体支撑(铝)-2;身体-1/外壳（大）-2;1.全腿组装-1/外壳（小）-3;1.全腿组装(左)-1/外壳（小）-3;身体-1/外壳（大）-1;1.全腿组装(左)-2/外壳（小）-3;身体-1/外壳（大）-4;身体-1/外壳（大）-3;1.全腿组装-2/外壳（小）-3;身体-1/身体支撑(树脂)-1,坐标系13,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_part_A,-0.00019739,6.939E-06,0.01919,0,0,0,0.13854,0.00015662,1.6319E-08,5.052E-07,0.00011071,-3.2051E-07,0.00016082,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_front_part_A.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_front_part_A.STL,,1.全腿组装(左)-1/外壳（小）-2;1.全腿组装(左)-1/外壳（小）-3;1.全腿组装(左)-1/髋（非对称）-2,坐标系9,,left_front_joint_A,continuous,0.06,-0.1985,-0.051651,1.5708,0,0,body,0,0,0,,,,,,,,,,,,
left_front_part_B,0.053372,-0.053287,0.054358,0,0,0,0.21506,0.00026835,0.00017544,-2.9468E-06,0.0002674,2.8482E-06,0.00051539,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_front_part_B.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_front_part_B.STL,,1.全腿组装(左)-1/外壳（小）-5;1.全腿组装(左)-1/大腿-凸-1;1.全腿组装(左)-1/小腿外扩-1;1.全腿组装(左)-1/大腿-凹-1,坐标系1,,left_front_joint_B,continuous,0.0122,0,0.0545,0,1.5708,0,left_front_part_A,0,0,0,,,,,,,,,,,,
left_front_part_C,-0.10823,-0.10823,0.0051498,0,0,0,0.11424,0.00010631,-9.3552E-05,-1.244E-10,0.00010631,-1.1372E-10,0.00020179,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_front_part_C.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_front_part_C.STL,,1.全腿组装(左)-1/小腿-2;1.全腿组装(左)-1/足-1/橡胶球-1;1.全腿组装(左)-1/足-1/足部-1,坐标系5,,left_front_joint_C,continuous,0.1697,-0.16971,0.055,0,0,0,left_front_part_B,0,0,0,,,,,,,,,,,,
right_front_part_A,-0.00019738595204128,-6.93915414214097E-06,-0.0191898259186131,0,0,0,0.138544872303723,0.000156623132983131,-1.63187121091778E-08,-5.05203889400439E-07,0.00011071071790623,-3.20505444399073E-07,0.000160817917481026,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_front_part_A.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_front_part_A.STL,,1.全腿组装-1/外壳（小）-3;1.全腿组装-1/髋（非对称）-2;1.全腿组装-1/外壳（小）-2,坐标系10,,right_front_joint_A,continuous,-0.06,-0.1985,-0.051651,1.5708,0,-3.1416,body,0,0,0,,,,,,,,,,,,
right_front_part_B,0.0532873274433164,-0.0533716492208997,-0.0543580164121775,0,0,0,0.215064601552888,0.000267404364668205,0.000175436244344369,2.84818731532923E-06,0.000268346434290709,-2.94677822681431E-06,0.000515386166446501,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_front_part_B.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_front_part_B.STL,,1.全腿组装-1/外壳（小）-5;1.全腿组装-1/小腿外扩-1;1.全腿组装-1/大腿-凸-1;1.全腿组装-1/大腿-凹-1,坐标系2,,right_front_joint_B,continuous,0.0122,0,-0.0545,3.1416,-1.5708,0,right_front_part_A,0,0,0,,,,,,,,,,,,
right_front_part_C,-0.108161367566384,-0.108292154423939,-0.00509650968166962,0,0,0,0.114240540331201,0.000106308123371657,-9.35517254127338E-05,1.13715176817685E-10,0.000106305470373166,1.2440021016652E-10,0.000201791172659927,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_front_part_C.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_front_part_C.STL,,1.全腿组装-1/小腿-2;1.全腿组装-1/足-2/足部-1;1.全腿组装-1/足-2/橡胶球-1,坐标系6,,right_front_joint_C,continuous,0.16971,-0.1697,-0.055,0,0,0,right_front_part_B,0,0,0,,,,,,,,,,,,
left_back_part_A,-0.000202161448169924,-6.39339140430517E-06,-0.0191898259275941,0,0,0,0.138544872303722,0.000156629542484471,1.521847298899E-08,-5.08706141581606E-07,0.000110704308404887,-3.20200944412958E-07,0.000160817917481025,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_back_part_A.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_back_part_A.STL,,1.全腿组装-2/外壳（小）-3;1.全腿组装-2/髋（非对称）-2;1.全腿组装-2/外壳（小）-2,坐标系11,,left_back_joint_A,continuous,0.06,0.1985,-0.051651,1.5708,0,0,body,0,0,0,,,,,,,,,,,,
left_back_part_B,0.0533716555760238,-0.0532873293081075,0.0543580232923674,0,0,0,0.215064605219665,0.000268346435092347,0.000175436245645603,-2.94677845229645E-06,0.00026740436741944,2.84818739887322E-06,0.000515386169950021,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_back_part_B.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_back_part_B.STL,,1.全腿组装-2/大腿-凹-1;1.全腿组装-2/大腿-凸-1;1.全腿组装-2/小腿外扩-1;1.全腿组装-2/外壳（小）-5,坐标系3,,left_back_joint_B,continuous,0.0122,0,-0.0545,0,1.5708,0,left_back_part_A,0,0,0,,,,,,,,,,,,
left_back_part_C,-0.108292154424467,-0.108161367565674,0.00509650968170655,0,0,0,0.114240540331202,0.000106305470373168,-9.35517254127346E-05,-1.24400210211448E-10,0.000106308123371657,-1.13715176915835E-10,0.000201791172659929,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_back_part_C.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/left_back_part_C.STL,,1.全腿组装-2/小腿-2;1.全腿组装-2/足-2/足部-1;1.全腿组装-2/足-2/橡胶球-1,坐标系7,,left_back_joint_C,continuous,0.1697,-0.16971,0.055,0,0,0,left_back_part_B,0,0,0,,,,,,,,,,,,
right_back_part_A,-0.000151525029138538,7.08619407333022E-07,0.0191898259275926,0,0,0,0.138544872303721,0.000156711567356736,3.05185957114432E-07,4.71798231205822E-07,0.00011062228353262,-3.15043559096438E-07,0.000160817917481022,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_back_part_A.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_back_part_A.STL,,1.全腿组装(左)-2/外壳（小）-3;1.全腿组装(左)-2/髋（非对称）-2;1.全腿组装(左)-2/外壳（小）-2,坐标系12,,right_back_joint_A,continuous,-0.06,0.1985,-0.051651,1.5708,0,-3.1416,body,0,0,0,,,,,,,,,,,,
right_back_part_B,0.0532873313445788,-0.0533716499587068,-0.0543580193721028,0,0,0,0.21506460582711,0.000267404365776635,0.000175436246239354,2.84818700527908E-06,0.000268346438091117,-2.94677809029801E-06,0.000515386171293932,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_back_part_B.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_back_part_B.STL,,1.全腿组装(左)-2/外壳（小）-5;1.全腿组装(左)-2/小腿外扩-1;1.全腿组装(左)-2/大腿-凸-1;1.全腿组装(左)-2/大腿-凹-1,坐标系4,,right_back_joint_B,continuous,0.0122,0,0.0545,3.1416,-1.5708,0,right_back_part_A,0,0,0,,,,,,,,,,,,
right_back_part_C,-0.108227254582787,-0.108226267407356,-0.00514980136531683,0,0,0,0.114240540331201,0.000106308123371657,-9.35517254127336E-05,1.13715176653392E-10,0.000106305470373166,1.24400210004632E-10,0.000201791172659927,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_back_part_C.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://big_dog.SLDASM/meshes/right_back_part_C.STL,,1.全腿组装(左)-2/小腿-2;1.全腿组装(左)-2/足-1/足部-1;1.全腿组装(左)-2/足-1/橡胶球-1,坐标系8,,right_back_joint_C,continuous,0.16971,-0.1697,-0.055,0,0,0,right_back_part_B,0,0,0,,,,,,,,,,,,
